,analysis date,city,cityid,cloudiness,country,groupingid,humidity,lat,long,max temp,wind speed
61,2018-09-06 12:00:00,Bethel,5880568,90,US,2,96,-161.76,60.79,50.0,4.7
62,2018-09-06 12:40:00,Saskylakh,2017155,92,RU,2,90,114.09,71.97,33.96,18.97
63,2018-09-06 11:50:00,Sola,3137942,75,NO,2,93,5.65,58.89,57.2,2.24
64,2018-09-06 12:11:00,Albany,5106834,75,US,2,79,-73.75,42.65,78.08,9.17
65,2018-09-06 11:53:00,Moses Lake,5803990,1,US,2,2,-119.28,47.13,87.08,2.08
66,2018-09-06 12:40:03,Atuona,4020109,44,PF,2,100,-139.03,-9.8,79.41,17.29
67,2018-09-06 12:00:00,Souillac,3026644,90,FR,2,77,-0.6,45.6,68.0,3.36
68,2018-09-06 12:40:04,Tura,1254046,24,IN,2,93,90.21,25.52,75.9,2.64
69,2018-09-06 12:40:05,Khasan,2039557,76,RU,2,100,130.64,42.43,62.49,11.14
70,2018-09-06 12:00:00,Bredasdorp,1015776,92,ZA,2,87,20.04,-34.53,48.2,4.7
71,2018-09-06 12:00:00,Bathsheba,3374083,20,BB,2,74,-59.52,13.22,84.2,12.75
72,2018-09-06 12:40:07,Armidale,2177671,56,AU,2,95,151.67,-30.51,51.24,10.92
73,2018-09-06 12:40:07,Bada,2322495,76,NG,2,96,4.51,12.41,76.44,10.13
74,2018-09-06 12:35:31,Itarema,3393692,0,BR,2,62,-39.92,-2.92,82.65,15.95
75,2018-09-06 12:40:09,Saldanha,2737599,92,PT,2,77,-6.55,41.42,64.29,5.99
76,2018-09-06 12:40:09,Nyrob,516588,0,RU,2,87,56.73,60.74,45.93,3.31
77,2018-09-06 12:00:00,Nikolskoye,546105,92,RU,2,93,30.79,59.7,62.6,4.47
78,2018-09-06 12:40:10,Takoradi,2294915,92,GH,2,98,-1.75,4.89,76.44,8.68
79,2018-09-06 12:40:10,Fuyu,2037334,0,CN,2,79,124.46,47.79,44.31,7.34
80,2018-09-06 12:36:09,Dikson,1507390,88,RU,2,99,80.55,73.51,40.89,17.52
81,2018-09-06 12:40:11,Mataura,6201424,0,NZ,2,82,168.86,-46.19,33.24,2.98
82,2018-09-06 12:00:00,Arraial do Cabo,3471451,75,BR,2,64,-42.02,-22.97,69.8,3.36
83,2018-09-06 12:40:12,Weihe,7372400,80,CN,2,45,105.33,32.99,59.52,2.86
84,2018-09-06 12:00:00,Hasaki,2112802,75,JP,2,83,140.83,35.73,78.8,10.29
85,2018-09-06 12:00:00,Mineros,3910343,0,BO,2,23,-63.23,-17.12,86.0,11.41
86,2018-09-06 11:50:00,Sandwick,2640416,92,GB,2,100,-2.89,54.57,41.0,4.7
87,2018-09-06 12:00:00,Palamos,3114566,20,ES,2,100,3.13,41.85,60.8,2.24
88,2018-09-06 12:40:16,Ahipara,2194098,0,NZ,2,91,173.16,-35.17,54.84,17.74
89,2018-09-06 12:00:00,Victoria,1733782,75,BN,2,83,115.24,5.28,80.6,3.36
90,2018-09-06 12:24:00,Maryville,5056172,90,US,2,83,-94.87,40.35,71.6,8.05
91,2018-09-06 12:00:00,Caxito,3451261,75,BR,2,60,-42.51,-22.65,69.8,6.93
92,2018-09-06 12:00:00,Porto Novo,6322184,0,BR,2,72,-45.44,-23.68,62.6,17.22
93,2018-09-06 11:50:00,Tasiilaq,3424607,92,GL,2,75,-37.64,65.61,44.6,33.33
94,2018-09-06 12:40:20,Watsa,204283,0,CD,2,91,29.53,3.04,65.37,2.42
95,2018-09-06 12:00:00,Fortuna,2517679,20,ES,2,78,-1.13,38.18,78.8,2.24
96,2018-09-06 12:40:22,Ilesha,2326168,68,NG,2,96,5.26,7.14,70.14,7.0
97,2018-09-06 12:40:22,Bluff,2175403,0,AU,2,94,149.07,-23.58,58.44,6.78
98,2018-09-06 12:00:00,Norman Wells,6089245,75,CA,2,43,-126.83,65.28,55.4,3.31
99,2018-09-06 12:40:23,Kabanjahe,1214965,64,ID,3,93,98.49,3.1,67.53,1.3
100,2018-09-06 12:40:23,Belmonte,8010472,20,PT,3,93,-7.35,40.36,59.52,3.42
101,2018-09-06 12:00:00,Letka,3200930,0,BA,3,64,17.27,43.74,69.8,1.12
102,2018-09-06 12:40:24,Tessalit,2449893,92,ML,3,19,1.01,20.2,90.57,3.65
103,2018-09-06 12:40:25,Beringovskiy,2126710,8,RU,3,100,179.32,63.05,49.44,6.22
104,2018-09-06 12:00:00,New Norfolk,2155415,40,AU,3,87,147.06,-42.78,44.6,5.82
105,2018-09-06 12:00:00,Hohhot,2036892,20,CN,3,87,111.65,40.81,44.6,2.24
106,2018-09-06 12:00:00,Clyde River,5924351,75,CA,3,93,-68.59,70.47,37.4,19.46
107,2018-09-06 12:00:00,Mahajanga,1062663,20,MG,3,41,46.32,-15.72,75.2,13.87
108,2018-09-06 11:56:00,Marquette,5000947,5,US,3,48,-87.4,46.54,64.94,8.05
109,2018-09-06 12:40:28,Zhigansk,2012530,36,RU,3,85,123.37,66.77,34.32,13.27
110,2018-09-06 12:40:29,Viedma,3832899,0,AR,3,27,-62.99,-40.81,61.86,15.5
111,2018-09-06 11:30:00,Ribeira Grande,3372707,20,PT,3,83,-28.7,38.52,71.6,4.7
112,2018-09-06 12:00:00,Prince Rupert,6113406,1,CA,3,82,-130.32,54.32,59.0,3.36
113,2018-09-06 12:38:39,Barrow,3833859,0,AR,3,23,-60.23,-38.31,64.29,9.69
114,2018-09-06 12:40:31,Batticaloa,1250161,0,LK,3,97,81.69,7.71,80.31,13.94
115,2018-09-06 12:40:31,Koumac,2140558,68,NC,3,92,164.28,-20.56,66.9,7.11
116,2018-09-06 12:40:32,Dingle,1714733,88,PH,3,100,122.67,11.0,74.37,9.57
117,2018-09-06 12:09:00,Glenwood Springs,5423092,1,US,3,26,-107.33,39.55,80.06,5.82
118,2018-09-06 12:40:33,Ambunti,2100933,68,PG,3,100,142.82,-4.22,74.64,2.19
119,2018-09-06 12:10:00,Tateyama,1849876,75,JP,3,69,137.31,36.66,77.0,13.87
120,2018-09-06 12:40:34,Guapi,3681505,68,CO,3,98,-77.89,2.57,76.89,2.75
121,2018-09-06 11:45:00,Petatlan,3992842,75,MX,3,52,-101.27,17.52,91.4,10.29
122,2018-09-06 11:50:00,Saint George,262462,20,GR,3,64,22.34,39.45,69.8,2.19
123,2018-09-06 12:40:35,Kruisfontein,986717,92,ZA,3,100,24.73,-34.0,48.54,8.68
124,2018-09-06 12:20:00,Liverpool,2644210,40,GB,3,66,-2.98,53.41,55.4,12.75
125,2018-09-06 12:40:37,Jamestown,2069194,0,AU,3,80,138.6,-33.21,32.34,4.32
126,2018-09-06 11:56:00,Lompoc,5367788,1,US,3,72,-120.46,34.64,80.6,11.41
127,2018-09-06 12:00:00,Mahebourg,934322,75,MU,3,88,57.7,-20.41,73.4,17.22
128,2018-09-06 12:00:00,Parnamirim,3392998,75,BR,3,74,-35.27,-5.92,78.8,13.87
129,2018-09-06 11:48:00,Acapulco,3533462,75,MX,3,62,-99.88,16.86,87.8,5.82
